id,score,term,topic,dropdown
118,10.827724203634633,bűncselekmény,18,saliency (bigram)
119,109.45382775421372,bűncselekmény,19,saliency (bigram)
120,17.18915786372995,bűncselekmény,20,saliency (bigram)
121,63.852317473986254,bűncselekmény,21,saliency (bigram)
122,19.747074837418158,bűncselekmény,22,saliency (bigram)
123,31.080692261762987,bűncselekmény,23,saliency (bigram)
124,53.08804148745434,bűncselekmény,24,saliency (bigram)
125,4.580488386706311,bank,0,saliency (bigram)
126,0.5546054571331608,bank,1,saliency (bigram)
127,23.149679063010023,bank,2,saliency (bigram)
128,10.797916927319728,bank,3,saliency (bigram)
129,40.32016420821512,bank,4,saliency (bigram)
130,26.22536273916906,bank,5,saliency (bigram)
131,12.15037463714892,bank,6,saliency (bigram)
132,14.987175895542398,bank,7,saliency (bigram)
133,18.272400379048392,bank,8,saliency (bigram)
134,7.836230631280417,bank,9,saliency (bigram)
135,11.013881407031107,bank,10,saliency (bigram)
136,660.9679399601056,bank,11,saliency (bigram)
137,27.459253275017556,bank,12,saliency (bigram)
138,60.83777349050829,bank,13,saliency (bigram)
139,9.181611523155762,bank,14,saliency (bigram)
140,43.71105948620894,bank,15,saliency (bigram)
141,22.648842134047857,bank,16,saliency (bigram)
142,6.133149464291957,bank,17,saliency (bigram)
143,10.275196727097361,bank,18,saliency (bigram)
144,151.54676592393605,bank,19,saliency (bigram)
145,15.228249253762074,bank,20,saliency (bigram)
146,76.87786570305757,bank,21,saliency (bigram)
147,90.5814725984272,bank,22,saliency (bigram)
148,6.8190660709741655,bank,23,saliency (bigram)
149,11.229476061687143,bank,24,saliency (bigram)
150,40.515150179870695,vezérigazgató,0,saliency (bigram)
151,188.22196955523216,vezérigazgató,1,saliency (bigram)
152,35.33931933503174,vezérigazgató,2,saliency (bigram)
153,4.422215620826259,vezérigazgató,3,saliency (bigram)
154,28.61020740177864,vezérigazgató,4,saliency (bigram)
155,14.597771995615718,vezérigazgató,5,saliency (bigram)
156,24.744668475264255,vezérigazgató,6,saliency (bigram)
157,15.114563155812826,vezérigazgató,7,saliency (bigram)
158,22.769623297268474,vezérigazgató,8,saliency (bigram)
159,7.575481071093841,vezérigazgató,9,saliency (bigram)
160,8.714108228468618,vezérigazgató,10,saliency (bigram)
161,41.666526028557385,vezérigazgató,11,saliency (bigram)
162,18.840245275109254,vezérigazgató,12,saliency (bigram)
163,13.968261229528485,vezérigazgató,13,saliency (bigram)
164,29.187853489829504,vezérigazgató,14,saliency (bigram)
165,33.93313477474572,vezérigazgató,15,saliency (bigram)
166,45.08445525099373,vezérigazgató,16,saliency (bigram)
167,4.6083959560565715,vezérigazgató,17,saliency (bigram)
168,48.41509725351139,vezérigazgató,18,saliency (bigram)
169,65.75908292965066,vezérigazgató,19,saliency (bigram)
170,14.806078061303444,vezérigazgató,20,saliency (bigram)
171,8.099735984615096,vezérigazgató,21,saliency (bigram)
172,2.960708808538179,vezérigazgató,22,saliency (bigram)
173,10.576101753994532,vezérigazgató,23,saliency (bigram)
174,5.398599187515542,vezérigazgató,24,saliency (bigram)
175,38.35902414602825,törvény,0,saliency (bigram)
176,15.014552821438574,törvény,1,saliency (bigram)
177,20.462525550195995,törvény,2,saliency (bigram)
178,16.41855403063893,törvény,3,saliency (bigram)
179,158.08880500143934,törvény,4,saliency (bigram)
180,129.84955407950264,törvény,5,saliency (bigram)
181,17.199673507450488,törvény,6,saliency (bigram)
182,31.038992754752563,törvény,7,saliency (bigram)
183,21.07013898430815,törvény,8,saliency (bigram)
184,16.117925801918297,törvény,9,saliency (bigram)
185,49.46887228812721,törvény,10,saliency (bigram)
186,16.740275659674353,törvény,11,saliency (bigram)
187,291.01635086877536,törvény,12,saliency (bigram)
188,65.18543710825385,törvény,13,saliency (bigram)
189,27.52274070066493,törvény,14,saliency (bigram)
190,40.89037808578526,törvény,15,saliency (bigram)
191,50.362119798122244,törvény,16,saliency (bigram)
192,314.84947102938935,törvény,17,saliency (bigram)
193,55.35396079886962,törvény,18,saliency (bigram)
194,46.040867107677606,törvény,19,saliency (bigram)
195,31.507240424076137,törvény,20,saliency (bigram)
196,44.495183329055195,törvény,21,saliency (bigram)
197,54.49433546098673,törvény,22,saliency (bigram)
198,43.11571774508267,törvény,23,saliency (bigram)
199,76.60194728182174,törvény,24,saliency (bigram)
200,33.23230481324603,lehetőség,0,saliency (bigram)
201,13.9481537976143,lehetőség,1,saliency (bigram)
202,18.93342348185406,lehetőség,2,saliency (bigram)
203,28.44211121986332,lehetőség,3,saliency (bigram)
204,46.55228300511548,lehetőség,4,saliency (bigram)
205,50.277868452350084,lehetőség,5,saliency (bigram)
206,36.89540995704156,lehetőség,6,saliency (bigram)
207,24.169571172039877,lehetőség,7,saliency (bigram)
208,62.88188581119067,lehetőség,8,saliency (bigram)
209,14.386025746506105,lehetőség,9,saliency (bigram)
210,27.631538820004995,lehetőség,10,saliency (bigram)
211,32.2539662471013,lehetőség,11,saliency (bigram)
212,79.14575797951206,lehetőség,12,saliency (bigram)
213,56.830589502367374,lehetőség,13,saliency (bigram)
214,27.42328226180199,lehetőség,14,saliency (bigram)
215,30.989604069677807,lehetőség,15,saliency (bigram)
216,34.00448238419743,lehetőség,16,saliency (bigram)
217,51.6491337016375,lehetőség,17,saliency (bigram)
218,38.34092178318376,lehetőség,18,saliency (bigram)
219,15.874774809269155,lehetőség,19,saliency (bigram)
220,24.619162724580786,lehetőség,20,saliency (bigram)
221,35.12476062624668,lehetőség,21,saliency (bigram)
222,31.545965103086058,lehetőség,22,saliency (bigram)
223,34.46625576670453,lehetőség,23,saliency (bigram)
224,57.230410421516126,lehetőség,24,saliency (bigram)
225,31.30488540829142,igazgató,0,saliency (bigram)
226,187.24962583706514,igazgató,1,saliency (bigram)
227,31.01400352218164,igazgató,2,saliency (bigram)
228,27.48318608810135,igazgató,3,saliency (bigram)
229,62.30010407471561,igazgató,4,saliency (bigram)
230,20.0918058740572,igazgató,5,saliency (bigram)
231,29.550831203440413,igazgató,6,saliency (bigram)
232,17.31860821407994,igazgató,7,saliency (bigram)
233,6.04642670155831,igazgató,8,saliency (bigram)
234,8.398118903660452,igazgató,9,saliency (bigram)
235,7.321368029918046,igazgató,10,saliency (bigram)
236,3.6970234930828534,igazgató,11,saliency (bigram)
237,17.441681857805573,igazgató,12,saliency (bigram)
238,18.718117459807583,igazgató,13,saliency (bigram)
239,31.398112410758397,igazgató,14,saliency (bigram)
240,35.65489744116443,igazgató,15,saliency (bigram)
241,51.481052679155084,igazgató,16,saliency (bigram)
242,8.069541247099618,igazgató,17,saliency (bigram)
243,25.34759542500483,igazgató,18,saliency (bigram)
244,35.707396981449534,igazgató,19,saliency (bigram)
245,16.338051157077782,igazgató,20,saliency (bigram)
246,46.3330084600595,igazgató,21,saliency (bigram)
247,13.273644167347731,igazgató,22,saliency (bigram)
248,20.4203508906433,igazgató,23,saliency (bigram)
249,21.756986542849738,igazgató,24,saliency (bigram)
250,56.96615373015369,támogatás,0,saliency (bigram)
251,9.576964432430758,támogatás,1,saliency (bigram)
252,49.400417264824725,támogatás,2,saliency (bigram)
253,411.59778578308715,támogatás,3,saliency (bigram)
254,62.41325345523771,támogatás,4,saliency (bigram)
255,63.8609160404051,támogatás,5,saliency (bigram)
256,11.87021367653863,támogatás,6,saliency (bigram)
257,25.644674881654936,támogatás,7,saliency (bigram)
258,28.240226895461856,támogatás,8,saliency (bigram)
259,114.33906075001792,támogatás,9,saliency (bigram)
260,56.648142424820264,támogatás,10,saliency (bigram)
261,11.807469674126356,támogatás,11,saliency (bigram)
262,26.45137364101868,támogatás,12,saliency (bigram)
263,35.30654747064231,támogatás,13,saliency (bigram)
264,31.35318558605462,támogatás,14,saliency (bigram)
265,65.68711087261974,támogatás,15,saliency (bigram)
266,73.86715813720504,támogatás,16,saliency (bigram)
267,29.989835034322766,támogatás,17,saliency (bigram)
268,40.50369830381199,támogatás,18,saliency (bigram)
269,9.373602446210715,támogatás,19,saliency (bigram)
270,25.663253130545275,támogatás,20,saliency (bigram)
271,9.893329995324732,támogatás,21,saliency (bigram)
272,11.69440263090189,támogatás,22,saliency (bigram)
273,15.563121299182184,támogatás,23,saliency (bigram)
274,34.594848555061354,támogatás,24,saliency (bigram)
275,20.445427040927893,párt,0,saliency (bigram)
276,21.64533722874127,párt,1,saliency (bigram)
277,21.440258169832635,párt,2,saliency (bigram)
278,31.179058018093468,párt,3,saliency (bigram)
279,28.34090087215989,párt,4,saliency (bigram)
280,107.51123831486046,párt,5,saliency (bigram)
281,7.723176938045491,párt,6,saliency (bigram)
282,14.230764155512931,párt,7,saliency (bigram)
283,16.446793506428314,párt,8,saliency (bigram)
284,8.652441916160935,párt,9,saliency (bigram)
285,129.10053910579478,párt,10,saliency (bigram)
286,3.223897040192238,párt,11,saliency (bigram)
287,10.375049703330104,párt,12,saliency (bigram)
288,34.061988385827846,párt,13,saliency (bigram)
289,12.899765936756555,párt,14,saliency (bigram)
290,21.004276486528916,párt,15,saliency (bigram)
291,20.764165680106032,párt,16,saliency (bigram)
292,8.561833981574042,párt,17,saliency (bigram)
293,9.090699795017223,párt,18,saliency (bigram)
294,24.34583912308081,párt,19,saliency (bigram)
295,14.504020790667678,párt,20,saliency (bigram)
296,7.004426822490996,párt,21,saliency (bigram)
297,40.790794151600366,párt,22,saliency (bigram)
298,14.373827054474743,párt,23,saliency (bigram)
299,43.471744427451085,párt,24,saliency (bigram)
300,14.12334027716313,számla,0,saliency (bigram)
301,28.179263245705233,számla,1,saliency (bigram)
302,6.8993331965438935,számla,2,saliency (bigram)
303,22.72306664651557,számla,3,saliency (bigram)
304,12.716668830782645,számla,4,saliency (bigram)
