id,score,term,topic,dropdown
0,44.49142450318045,fővárosi,0,saliency (bigram)
1,152.7294259438951,fővárosi,1,saliency (bigram)
2,15.117526733722645,fővárosi,2,saliency (bigram)
3,12.804187270463688,fővárosi,3,saliency (bigram)
4,7.027214012554823,fővárosi,4,saliency (bigram)
5,13.678909562234516,fővárosi,5,saliency (bigram)
6,30.664945486704145,fővárosi,6,saliency (bigram)
7,19.733432313622515,fővárosi,7,saliency (bigram)
8,16.890155837183546,fővárosi,8,saliency (bigram)
9,15.453321858870387,fővárosi,9,saliency (bigram)
10,25.55171846747267,fővárosi,10,saliency (bigram)
11,4.763968119091537,fővárosi,11,saliency (bigram)
12,8.551522766224474,fővárosi,12,saliency (bigram)
13,16.92695514001164,fővárosi,13,saliency (bigram)
14,54.074778875289546,fővárosi,14,saliency (bigram)
15,31.308164551745588,fővárosi,15,saliency (bigram)
16,49.00292157901409,fővárosi,16,saliency (bigram)
17,9.473791789579161,fővárosi,17,saliency (bigram)
18,44.22775278054487,fővárosi,18,saliency (bigram)
19,56.757825055730336,fővárosi,19,saliency (bigram)
20,17.823588402596734,fővárosi,20,saliency (bigram)
21,26.976289033727785,fővárosi,21,saliency (bigram)
22,24.904973029858958,fővárosi,22,saliency (bigram)
23,55.33174856108114,fővárosi,23,saliency (bigram)
24,21.32081757580235,fővárosi,24,saliency (bigram)
25,21.773594675890998,főügyészség,0,saliency (bigram)
26,34.31687124030675,főügyészség,1,saliency (bigram)
27,5.4363343451843225,főügyészség,2,saliency (bigram)
28,18.937335388689313,főügyészség,3,saliency (bigram)
29,1.665880923073213,főügyészség,4,saliency (bigram)
30,4.5693232057206306,főügyészség,5,saliency (bigram)
31,124.22749618743777,főügyészség,6,saliency (bigram)
32,13.936504602838921,főügyészség,7,saliency (bigram)
33,20.850152408836937,főügyészség,8,saliency (bigram)
34,98.58204719990638,főügyészség,9,saliency (bigram)
35,48.150800616938014,főügyészség,10,saliency (bigram)
36,18.74860704830221,főügyészség,11,saliency (bigram)
37,29.549218886851367,főügyészség,12,saliency (bigram)
38,6.181300484352166,főügyészség,13,saliency (bigram)
39,23.125629157547053,főügyészség,14,saliency (bigram)
40,12.305149222202408,főügyészség,15,saliency (bigram)
41,26.067107443571665,főügyészség,16,saliency (bigram)
42,9.303108551735349,főügyészség,17,saliency (bigram)
43,6.9922895810296355,főügyészség,18,saliency (bigram)
44,45.181280331839794,főügyészség,19,saliency (bigram)
45,13.207561609231034,főügyészség,20,saliency (bigram)
46,8.105019174197057,főügyészség,21,saliency (bigram)
47,20.309839213643652,főügyészség,22,saliency (bigram)
48,44.95748820281608,főügyészség,23,saliency (bigram)
49,23.660421925353138,főügyészség,24,saliency (bigram)
50,28.694781147958913,megyei,0,saliency (bigram)
51,5.317953381639003,megyei,1,saliency (bigram)
52,14.386738363044339,megyei,2,saliency (bigram)
53,47.5397955288748,megyei,3,saliency (bigram)
54,1.9545766358816417,megyei,4,saliency (bigram)
55,13.502074085784148,megyei,5,saliency (bigram)
56,4.987710977545927,megyei,6,saliency (bigram)
57,18.018704676720134,megyei,7,saliency (bigram)
58,7.101053083415153,megyei,8,saliency (bigram)
59,215.03684218017935,megyei,9,saliency (bigram)
60,111.38025691574957,megyei,10,saliency (bigram)
61,4.518356148312595,megyei,11,saliency (bigram)
62,39.40481708908866,megyei,12,saliency (bigram)
63,14.153228384538263,megyei,13,saliency (bigram)
64,23.485241886410307,megyei,14,saliency (bigram)
65,28.853896062161198,megyei,15,saliency (bigram)
66,42.30479388833642,megyei,16,saliency (bigram)
67,4.398334454460733,megyei,17,saliency (bigram)
68,18.788174353787756,megyei,18,saliency (bigram)
69,36.554475606342784,megyei,19,saliency (bigram)
70,14.234233109507066,megyei,20,saliency (bigram)
71,34.36997235162819,megyei,21,saliency (bigram)
72,16.32957380612441,megyei,22,saliency (bigram)
73,23.826436908115763,megyei,23,saliency (bigram)
74,11.932446069816564,megyei,24,saliency (bigram)
75,37.83973830287212,jogi,0,saliency (bigram)
76,111.30658074237643,jogi,1,saliency (bigram)
77,22.763703924815147,jogi,2,saliency (bigram)
78,14.318547116533422,jogi,3,saliency (bigram)
79,22.571319362731504,jogi,4,saliency (bigram)
80,17.72509102927981,jogi,5,saliency (bigram)
81,32.20252598668242,jogi,6,saliency (bigram)
82,16.494436745640417,jogi,7,saliency (bigram)
83,6.715564461401413,jogi,8,saliency (bigram)
84,9.192977252016378,jogi,9,saliency (bigram)
85,17.68431720513709,jogi,10,saliency (bigram)
86,2.4347804459090834,jogi,11,saliency (bigram)
87,32.32621602409928,jogi,12,saliency (bigram)
88,35.80654368429354,jogi,13,saliency (bigram)
89,26.42744842507897,jogi,14,saliency (bigram)
90,31.51163484103959,jogi,15,saliency (bigram)
91,19.660477915940945,jogi,16,saliency (bigram)
92,19.480895612330603,jogi,17,saliency (bigram)
93,28.134829268705065,jogi,18,saliency (bigram)
94,38.18487287807185,jogi,19,saliency (bigram)
95,16.788552685489353,jogi,20,saliency (bigram)
