source,target,value
heti valasz,EU és külföldi multik,12
bors,Gyanús pénzmozgások,2
pestisracok hu,Fejlesztési pénzek eltűntetése,3
hir24,Fejlesztési pénzek eltűntetése,6
romnet hu,EU és külföldi multik,2
tasz,Sikkasztási gyanú,1
atv,Fejlesztési pénzek eltűntetése,5
pestisracok hu,EU és külföldi multik,3
magyar narancs,Szabályozások,3
vs hu,Korrupciós ügyek felgöngyölítése,20
hir24,Korrupciós ügyek felgöngyölítése,12
444,Vidéki ügyek,6
mno,Korrupciós ügyek felgöngyölítése,54
vilaggazdasag,EU és külföldi multik,9
fn hu,Képviselői vagyonosodás,4
origo,Bróker ügyek nyomozása,23
origo,Szervezeti korrupció,37
bacs kiskun online,Támogatáselosztás, csalások,4
napi hu,Szervezeti korrupció,6
magyar narancs,Állami cégek piszkos ügyei,8
vs hu,EU és külföldi multik,15
hir24,Hűtlen kezelés,1
hvg,EU és külföldi multik,54
blikk,Törvények rugalmas kezelése,15
atv,Korrupciós ügyek felgöngyölítése,25
index,Átláthatatlan üzletek,36
blikk,Önkormányzati ingatlanmutyik,3
vilaggazdasag,Törvények rugalmas kezelése,20
vilaggazdasag,Támogatáselosztás, csalások,11
index,Állami cégek piszkos ügyei,32
origo,Fejlesztési pénzek eltűntetése,19
index,Önkormányzati ingatlanmutyik,28
atlatszo hu,Gyanús pénzmozgások,32
origo,Vidéki ügyek,27
bama hu,EU és külföldi multik,1
nepszava,Állam és pénzpiac összefonódása,25
nepszava,Fejlesztési pénzek eltűntetése,9
hvg,Szervezeti korrupció,34
atv,Képviselői vagyonosodás,9
444,EU és külföldi multik,15
vasarnapi hirek,Biznisz, céges ügyek,2
vilaggazdasag,Korrupciós ügyek felgöngyölítése,7
napi hu,Állam és pénzpiac összefonódása,7
atv,Állam és pénzpiac összefonódása,20
nepszava,Átláthatatlan üzletek,16
magyar narancs,Törvények rugalmas kezelése,29
napi hu,Biznisz, céges ügyek,30
hvg,Hűtlen kezelés,3
blikk,Korrupciós ügyek felgöngyölítése,7
fn hu,Törvények rugalmas kezelése,20
atlatszo hu,Törvényessé tett korrupció,10
magyar narancs,Sikkasztási gyanú,5
vilaggazdasag,Sikkasztási gyanú,4
nol,Képviselői vagyonosodás,48
heti valasz,Képviselői vagyonosodás,4
444,Átláthatatlan üzletek,3
hir24,Támogatáselosztás, csalások,12
abcug,Gyanús pénzmozgások,3
magyar narancs,Korrupciós ügyek felgöngyölítése,6
heti valasz,Törvények rugalmas kezelése,11
atlatszo oktatas,Gyanús pénzmozgások,2
napi hu,Hűtlen kezelés,2
blikk,Biznisz, céges ügyek,24
nol,Sikkasztási gyanú,15
abcug,Önkormányzati ingatlanmutyik,1
vilaggazdasag,Szervezeti korrupció,8
mno,Szabályozások,9
inforadio,Fejlesztési pénzek eltűntetése,3
atv,Hűtlen kezelés,2
inforadio,Állam és pénzpiac összefonódása,11
atv,Szervezeti korrupció,12
pestisracok hu,Szervezeti korrupció,3
direkt36,Törvények rugalmas kezelése,1
vs hu,Állam és pénzpiac összefonódása,20
vilaggazdasag,Önkormányzati ingatlanmutyik,4
atv,Állami cégek piszkos ügyei,9
hir24,Képviselői vagyonosodás,4
abcug,Képviselői vagyonosodás,2
magyar idok,Támogatáselosztás, csalások,7
napi hu,Korrupciós ügyek felgöngyölítése,12
mno,Területi fejlesztések,1
hirextra,Korrupciós ügyek felgöngyölítése,1
atlatszo hu,Vidéki ügyek,8
vs hu,Átláthatatlan üzletek,6
pestisracok hu,Gyanús pénzmozgások,3
inforadio,Törvényessé tett korrupció,5
jogi forum,Szervezeti korrupció,1
nepszava,Vidéki ügyek,20
hirextra,EU és külföldi multik,3
origo,Sikkasztási gyanú,11
atlatszo hu,Állam és pénzpiac összefonódása,20
bors,Törvények rugalmas kezelése,4
vs hu,Fejlesztési pénzek eltűntetése,2
hir24,Szervezeti korrupció,8
jogi forum,Törvényessé tett korrupció,1
origo hu,Önkormányzati ingatlanmutyik,1
vs hu,Vidéki ügyek,16
444,Szervezeti korrupció,7
hvg,Közbeszerzés, pályáztatás,5
bors,Biznisz, céges ügyek,1
blikk,Támogatáselosztás, csalások,8
atv,Önkormányzati ingatlanmutyik,11
inforadio,Támogatáselosztás, csalások,6
tasz,Szervezeti korrupció,1
magyar idok,Törvények rugalmas kezelése,6
atv,Támogatáselosztás, csalások,18
vs hu,Törvényessé tett korrupció,5
444,Sikkasztási gyanú,2
atlatszo hu,Átláthatatlan üzletek,10
hir24,Hivatali visszaélés,3
magyar idok,Szervezeti korrupció,1
mno,Közbeszerzés, pályáztatás,7
fn hu,Átláthatatlan üzletek,5
magyar narancs,Támogatáselosztás, csalások,11
fn hu,Sikkasztási gyanú,1
hir24,Átláthatatlan üzletek,6
magyar narancs,Törvényessé tett korrupció,9
nepszava,Korrupciós ügyek felgöngyölítése,13
mno,Hivatali visszaélés,7
fn hu,EU és külföldi multik,4
cink,Szervezeti korrupció,1
vs hu,Képviselői vagyonosodás,18
direkt36,Korrupciós ügyek felgöngyölítése,1
gazdasagi radio,Vidéki ügyek,1
origo hu,Törvények rugalmas kezelése,7
beol,Vidéki ügyek,1
nol,Közbeszerzés, pályáztatás,7
portfolio,Képviselői vagyonosodás,1
index,Szabályozások,14
blikk,EU és külföldi multik,9
444,Szabályozások,3
fn hu,Önkormányzati ingatlanmutyik,1
heti valasz,Törvényessé tett korrupció,4
k monitor,Állam és pénzpiac összefonódása,2
nepszava,Szervezeti korrupció,17
mno,Hűtlen kezelés,3
mno,Törvényessé tett korrupció,27
atlatszo hu,Szervezeti korrupció,14
fn hu,Biznisz, céges ügyek,15
heti valasz,Gyanús pénzmozgások,16
hvg,Önkormányzati ingatlanmutyik,17
magyar hirlap,Biznisz, céges ügyek,2
hvg,Sikkasztási gyanú,13
nepszava,Önkormányzati ingatlanmutyik,9
blikk,Állami cégek piszkos ügyei,5
klubradio online,Törvények rugalmas kezelése,4
hirtv,Gyanús pénzmozgások,1
magyar hirlap,Törvényessé tett korrupció,1
444,Hivatali visszaélés,2
vilaggazdasag,Állam és pénzpiac összefonódása,10
rtl klub,Állami cégek piszkos ügyei,1
vs hu,Szervezeti korrupció,16
portfolio,Önkormányzati ingatlanmutyik,1
origo,Szabályozások,6
napi hu,Támogatáselosztás, csalások,9
portfolio,Törvények rugalmas kezelése,4
vs hu,Gyanús pénzmozgások,33
heol,Gyanús pénzmozgások,1
blikk,Vidéki ügyek,9
napi hu,Sikkasztási gyanú,2
atv,Sikkasztási gyanú,3
napi hu,Önkormányzati ingatlanmutyik,1
bacs kiskun online,Gyanús pénzmozgások,4
bacs kiskun online,Biznisz, céges ügyek,6
atv,Átláthatatlan üzletek,10
origo hu,Korrupciós ügyek felgöngyölítése,2
magyar narancs,Bróker ügyek nyomozása,4
index,Közbeszerzés, pályáztatás,4
beszelo,Korrupciós ügyek felgöngyölítése,1
hir24,Vidéki ügyek,7
kemma,Törvények rugalmas kezelése,1
napi hu,Törvényessé tett korrupció,8
mno,Fejlesztési pénzek eltűntetése,20
index,Hivatali visszaélés,8
magyar narancs,Képviselői vagyonosodás,14
magyar hirlap,Gyanús pénzmozgások,6
klubradio online,Támogatáselosztás, csalások,5
kitekinto,Szervezeti korrupció,1
hvg,Fejlesztési pénzek eltűntetése,13
klubradio online,Vidéki ügyek,2
inforadio,Hivatali visszaélés,1
vs hu,Önkormányzati ingatlanmutyik,7
tv2,Törvények rugalmas kezelése,1
inforadio,Biznisz, céges ügyek,15
444,Állami cégek piszkos ügyei,5
bacs kiskun online,Törvényessé tett korrupció,2
vilaggazdasag,Vidéki ügyek,5
magyar narancs,Fejlesztési pénzek eltűntetése,5
revizor,Támogatáselosztás, csalások,1
blikk,Szervezeti korrupció,7
nol,Területi fejlesztések,1
nepszava,Törvényessé tett korrupció,14
heti valasz,Állam és pénzpiac összefonódása,6
heti valasz,Önkormányzati ingatlanmutyik,7
hirextra,Támogatáselosztás, csalások,3
heti valasz,Sikkasztási gyanú,1
kisalfold,Állam és pénzpiac összefonódása,1
nepszava,Bróker ügyek nyomozása,11
444,Képviselői vagyonosodás,5
portfolio,Állam és pénzpiac összefonódása,2
heti valasz,Közbeszerzés, pályáztatás,1
444,Támogatáselosztás, csalások,8
klubradio online,Bróker ügyek nyomozása,2
napi hu,EU és külföldi multik,12
blikk,Törvényessé tett korrupció,5
origo hu,Támogatáselosztás, csalások,3
atlatszo hu,Állami cégek piszkos ügyei,8
vs hu,Szabályozások,2
bama hu,Területi fejlesztések,1
nepszava,Közbeszerzés, pályáztatás,3
heti valasz,Területi fejlesztések,1
hirextra,Biznisz, céges ügyek,3
bama hu,Biznisz, céges ügyek,7
atlatszo hu,Hivatali visszaélés,2
bacs kiskun online,Állami cégek piszkos ügyei,1
atv,Törvényessé tett korrupció,9
valasz hu,Törvények rugalmas kezelése,1
rtl klub,Képviselői vagyonosodás,1
index,Területi fejlesztések,2
vasarnapi hirek,Törvényessé tett korrupció,1
