,yield,gen,year,site
584,18.3658283222,csoport,12,frequency (term)
585,32.3186067283,szükség,0,frequency (term)
586,33.4896615084,szükség,1,frequency (term)
587,26.5524325173,szükség,2,frequency (term)
588,34.5765633732,szükség,3,frequency (term)
589,31.208660517,szükség,4,frequency (term)
590,28.6672706704,szükség,5,frequency (term)
591,41.2192243514,szükség,6,frequency (term)
592,33.1845467726,szükség,7,frequency (term)
593,34.191167226,szükség,8,frequency (term)
594,34.1412484546,szükség,9,frequency (term)
595,30.1338862781,szükség,10,frequency (term)
596,36.2876447476,szükség,11,frequency (term)
597,19.7127929995,szükség,12,frequency (term)
598,28.2722461464,nemzetközi,0,frequency (term)
599,17.7196284583,nemzetközi,1,frequency (term)
600,46.4441576834,nemzetközi,2,frequency (term)
601,23.4499620719,nemzetközi,3,frequency (term)
602,29.3230405782,nemzetközi,4,frequency (term)
603,30.0824983181,nemzetközi,5,frequency (term)
604,25.1151978181,nemzetközi,6,frequency (term)
605,38.5658761739,nemzetközi,7,frequency (term)
606,31.7835774895,nemzetközi,8,frequency (term)
607,23.1156325641,nemzetközi,9,frequency (term)
608,29.9230554125,nemzetközi,10,frequency (term)
609,30.6011244946,nemzetközi,11,frequency (term)
610,37.2791305647,nemzetközi,12,frequency (term)
611,25.3466149164,gyerek,0,frequency (term)
612,51.5420662705,gyerek,1,frequency (term)
613,13.0493485558,gyerek,2,frequency (term)
614,18.9775620175,gyerek,3,frequency (term)
615,28.9054834733,gyerek,4,frequency (term)
616,44.6637081976,gyerek,5,frequency (term)
617,19.071914318,gyerek,6,frequency (term)
618,26.625556382,gyerek,7,frequency (term)
619,26.2969215111,gyerek,8,frequency (term)
620,42.840679824,gyerek,9,frequency (term)
621,46.9508476156,gyerek,10,frequency (term)
622,38.308852775,gyerek,11,frequency (term)
623,34.2723467522,gyerek,12,frequency (term)
624,137.941341318,migráns,0,saliency (term)
625,152.569711512,migráns,1,saliency (term)
626,25.4399825387,migráns,2,saliency (term)
627,192.15676321,migráns,3,saliency (term)
628,102.13726826,migráns,4,saliency (term)
629,46.2302693494,migráns,5,saliency (term)
630,262.239787116,migráns,6,saliency (term)
631,96.3761076402,migráns,7,saliency (term)
632,145.001964959,migráns,8,saliency (term)
633,205.000694534,migráns,9,saliency (term)
634,61.5992472309,migráns,10,saliency (term)
635,130.681858849,migráns,11,saliency (term)
636,65.5558137828,migráns,12,saliency (term)
637,118.376005571,bevándorló,0,saliency (term)
638,164.795625677,bevándorló,1,saliency (term)
639,177.30550167,bevándorló,2,saliency (term)
640,151.504976753,bevándorló,3,saliency (term)
641,94.7018439285,bevándorló,4,saliency (term)
642,26.3874043639,bevándorló,5,saliency (term)
643,91.9391791825,bevándorló,6,saliency (term)
644,70.7654315998,bevándorló,7,saliency (term)
645,73.089834156,bevándorló,8,saliency (term)
646,159.348646826,bevándorló,9,saliency (term)
647,66.868998946,bevándorló,10,saliency (term)
648,174.207637686,bevándorló,11,saliency (term)
649,50.3044775647,bevándorló,12,saliency (term)
650,56.8136586176,illegális,0,saliency (term)
651,61.2767714597,illegális,1,saliency (term)
652,70.110270526,illegális,2,saliency (term)
653,89.6413640644,illegális,3,saliency (term)
654,52.856433574,illegális,4,saliency (term)
655,9.08718965513,illegális,5,saliency (term)
656,88.5650996722,illegális,6,saliency (term)
657,55.6196179364,illegális,7,saliency (term)
658,55.7796248407,illegális,8,saliency (term)
659,102.850237645,illegális,9,saliency (term)
660,35.6389049019,illegális,10,saliency (term)
661,98.8944730531,illegális,11,saliency (term)
662,30.1451332633,illegális,12,saliency (term)
663,59.6774846242,bevándorlás,0,saliency (term)
664,75.8583323815,bevándorlás,1,saliency (term)
665,114.395121064,bevándorlás,2,saliency (term)
666,69.3538466944,bevándorlás,3,saliency (term)
667,46.2330453613,bevándorlás,4,saliency (term)
668,15.5148040971,bevándorlás,5,saliency (term)
669,49.1467551881,bevándorlás,6,saliency (term)
670,45.2215284032,bevándorlás,7,saliency (term)
671,31.5242320974,bevándorlás,8,saliency (term)
672,63.8472987543,bevándorlás,9,saliency (term)
673,30.6278941075,bevándorlás,10,saliency (term)
674,59.8368738235,bevándorlás,11,saliency (term)
675,26.1080683427,bevándorlás,12,saliency (term)
676,53.037863762,miniszterelnök,0,saliency (term)
677,27.5252606749,miniszterelnök,1,saliency (term)
678,92.8303646528,miniszterelnök,2,saliency (term)
679,25.5471286849,miniszterelnök,3,saliency (term)
680,45.6056300748,miniszterelnök,4,saliency (term)
681,36.6870344346,miniszterelnök,5,saliency (term)
682,54.977875213,miniszterelnök,6,saliency (term)
683,62.1142797162,miniszterelnök,7,saliency (term)
684,56.5085345267,miniszterelnök,8,saliency (term)
685,51.2038026243,miniszterelnök,9,saliency (term)
686,47.9701236311,miniszterelnök,10,saliency (term)
687,45.6540850852,miniszterelnök,11,saliency (term)
688,41.4081784343,miniszterelnök,12,saliency (term)
689,58.0058941269,rendőr,0,saliency (term)
690,46.0455791028,rendőr,1,saliency (term)
691,20.0055853929,rendőr,2,saliency (term)
692,98.0728110346,rendőr,3,saliency (term)
693,46.8743903239,rendőr,4,saliency (term)
694,18.491419567,rendőr,5,saliency (term)
695,62.4903770057,rendőr,6,saliency (term)
696,32.1416522378,rendőr,7,saliency (term)
697,82.0154249748,rendőr,8,saliency (term)
698,92.4073237305,rendőr,9,saliency (term)
699,74.0347730806,rendőr,10,saliency (term)
700,85.9350271357,rendőr,11,saliency (term)
701,18.4830662746,rendőr,12,saliency (term)
702,55.2601459651,elnök,0,saliency (term)
703,24.5611887709,elnök,1,saliency (term)
704,56.4320007135,elnök,2,saliency (term)
705,36.6566378265,elnök,3,saliency (term)
706,47.0163839263,elnök,4,saliency (term)
707,51.9380067198,elnök,5,saliency (term)
708,54.7784551133,elnök,6,saliency (term)
709,63.8296593739,elnök,7,saliency (term)
710,58.0983746696,elnök,8,saliency (term)
711,34.4310060197,elnök,9,saliency (term)
712,65.3528139798,elnök,10,saliency (term)
713,33.0366152931,elnök,11,saliency (term)
714,69.9007143585,elnök,12,saliency (term)
715,53.007697802,politikai,0,saliency (term)
716,39.5820936321,politikai,1,saliency (term)
717,70.0863520468,politikai,2,saliency (term)
718,24.0020810576,politikai,3,saliency (term)
719,43.6627719952,politikai,4,saliency (term)
720,77.8422921235,politikai,5,saliency (term)
721,36.6338784834,politikai,6,saliency (term)
722,52.1061771574,politikai,7,saliency (term)
723,38.9581879007,politikai,8,saliency (term)
724,24.8287803323,politikai,9,saliency (term)
725,43.8969894161,politikai,10,saliency (term)
726,39.321081082,politikai,11,saliency (term)
727,54.6223472628,politikai,12,saliency (term)
728,63.9736416704,hatóság,0,saliency (term)
729,51.3112504398,hatóság,1,saliency (term)
730,23.6016995256,hatóság,2,saliency (term)
731,67.4940651888,hatóság,3,saliency (term)
732,47.3927725234,hatóság,4,saliency (term)
733,26.003641864,hatóság,5,saliency (term)
734,66.2300796101,hatóság,6,saliency (term)
735,42.6150280761,hatóság,7,saliency (term)
736,51.9042053175,hatóság,8,saliency (term)
737,84.7133329302,hatóság,9,saliency (term)
738,48.4145886335,hatóság,10,saliency (term)
739,56.0106624799,hatóság,11,saliency (term)
740,31.594337343,hatóság,12,saliency (term)
741,53.5507285879,párt,0,saliency (term)
742,31.8045880807,párt,1,saliency (term)
743,72.216423588,párt,2,saliency (term)
744,47.057341674,párt,3,saliency (term)
745,43.5464534195,párt,4,saliency (term)
746,71.1522691157,párt,5,saliency (term)
747,30.367618371,párt,6,saliency (term)
748,55.4943393051,párt,7,saliency (term)
749,32.9136142786,párt,8,saliency (term)
750,20.8496877699,párt,9,saliency (term)
751,49.7545306808,párt,10,saliency (term)
752,35.9748645619,párt,11,saliency (term)
753,78.9703315022,párt,12,saliency (term)
754,57.7233750595,rendőrség,0,saliency (term)
755,38.0448137025,rendőrség,1,saliency (term)
756,18.0051773223,rendőrség,2,saliency (term)
757,83.7346684959,rendőrség,3,saliency (term)
758,40.9428184869,rendőrség,4,saliency (term)
759,13.2457750054,rendőrség,5,saliency (term)
760,50.3388781241,rendőrség,6,saliency (term)
761,43.7252059537,rendőrség,7,saliency (term)
762,56.8609237327,rendőrség,8,saliency (term)
763,68.208960254,rendőrség,9,saliency (term)
764,51.0343162795,rendőrség,10,saliency (term)
765,71.9393486563,rendőrség,11,saliency (term)
766,20.5385240564,rendőrség,12,saliency (term)
767,35.0065355908,probléma,0,saliency (term)
768,58.2423305593,probléma,1,saliency (term)
769,64.9710859747,probléma,2,saliency (term)
770,37.991967494,probléma,3,saliency (term)
771,40.0244533363,probléma,4,saliency (term)
772,33.7480770682,probléma,5,saliency (term)
773,40.9695158224,probléma,6,saliency (term)
774,38.5259272918,probléma,7,saliency (term)
775,33.9530913658,probléma,8,saliency (term)
776,39.8891304471,probléma,9,saliency (term)
777,35.1342930064,probléma,10,saliency (term)
778,57.0725178185,probléma,11,saliency (term)
779,28.2556936365,probléma,12,saliency (term)
780,65.8148176304,menedékkérő,0,saliency (term)
781,60.0357331291,menedékkérő,1,saliency (term)
782,31.2972052406,menedékkérő,2,saliency (term)
783,69.4944073377,menedékkérő,3,saliency (term)
784,46.5271310059,menedékkérő,4,saliency (term)
785,34.1546260457,menedékkérő,5,saliency (term)
786,32.163773318,menedékkérő,6,saliency (term)
787,43.2303544561,menedékkérő,7,saliency (term)
788,54.6536219047,menedékkérő,8,saliency (term)
789,110.214990845,menedékkérő,9,saliency (term)
790,30.3072355762,menedékkérő,10,saliency (term)
791,65.1710413994,menedékkérő,11,saliency (term)
792,27.7643403015,menedékkérő,12,saliency (term)
793,37.0774322704,állam,0,saliency (term)
794,52.8106357729,állam,1,saliency (term)
795,37.8178399766,állam,2,saliency (term)
796,30.7285694656,állam,3,saliency (term)
797,40.5417007267,állam,4,saliency (term)
798,52.7680012869,állam,5,saliency (term)
799,56.1246279943,állam,6,saliency (term)
800,45.1348407583,állam,7,saliency (term)
801,41.1169802171,állam,8,saliency (term)
802,37.9064349668,állam,9,saliency (term)
803,36.2279123166,állam,10,saliency (term)
804,41.0382124894,állam,11,saliency (term)
805,32.1672805546,állam,12,saliency (term)
806,32.365214882,osztrák,0,saliency (term)
807,44.161756584,osztrák,1,saliency (term)
808,10.6228727409,osztrák,2,saliency (term)
809,76.363524132,osztrák,3,saliency (term)
810,33.5091060938,osztrák,4,saliency (term)
811,13.5500315813,osztrák,5,saliency (term)
812,64.5043901375,osztrák,6,saliency (term)
813,21.0760348788,osztrák,7,saliency (term)
814,59.6638654201,osztrák,8,saliency (term)
815,48.0200226791,osztrák,9,saliency (term)
816,76.0314481963,osztrák,10,saliency (term)
817,30.3862120893,osztrák,11,saliency (term)
818,15.9461626589,osztrák,12,saliency (term)
819,39.8991730518,politikus,0,saliency (term)
820,37.5858940764,politikus,1,saliency (term)
821,41.3472295893,politikus,2,saliency (term)
822,35.9469298484,politikus,3,saliency (term)
823,37.1094626171,politikus,4,saliency (term)
824,39.3670976397,politikus,5,saliency (term)
825,26.1978929986,politikus,6,saliency (term)
826,40.8260343175,politikus,7,saliency (term)
827,46.4930074687,politikus,8,saliency (term)
828,30.5646510134,politikus,9,saliency (term)
829,43.0036684584,politikus,10,saliency (term)
830,32.1713415158,politikus,11,saliency (term)
831,38.0137677282,politikus,12,saliency (term)
832,27.153480031,család,0,saliency (term)
833,73.6202985822,család,1,saliency (term)
834,36.2444704279,család,2,saliency (term)
835,18.322955509,család,3,saliency (term)
836,32.1836305087,család,4,saliency (term)
837,37.4761884713,család,5,saliency (term)
838,26.6820036205,család,6,saliency (term)
839,26.7278774546,család,7,saliency (term)
840,27.1196781558,család,8,saliency (term)
841,41.1689277647,család,9,saliency (term)
842,38.9456094973,család,10,saliency (term)
843,33.9330327758,család,11,saliency (term)
844,34.3907501121,család,12,saliency (term)
845,28.9713281523,kerítés,0,saliency (term)
846,33.7298198035,kerítés,1,saliency (term)
847,26.7989308493,kerítés,2,saliency (term)
848,44.9224695691,kerítés,3,saliency (term)
849,29.6747835535,kerítés,4,saliency (term)
850,25.5234375656,kerítés,5,saliency (term)
851,26.4529860603,kerítés,6,saliency (term)
852,32.8974347982,kerítés,7,saliency (term)
853,35.3488867538,kerítés,8,saliency (term)
854,57.5006514469,kerítés,9,saliency (term)
855,35.9285602028,kerítés,10,saliency (term)
856,84.7387256987,kerítés,11,saliency (term)
857,3.56401809521,kerítés,12,saliency (term)
858,40.0330611133,gazdasági,0,saliency (term)
859,38.2557810444,gazdasági,1,saliency (term)
860,38.5811337089,gazdasági,2,saliency (term)
861,18.1242183321,gazdasági,3,saliency (term)
862,31.0654205926,gazdasági,4,saliency (term)
863,34.4849361957,gazdasági,5,saliency (term)
864,42.2180174871,gazdasági,6,saliency (term)
865,33.4300436422,gazdasági,7,saliency (term)
866,27.5786023883,gazdasági,8,saliency (term)
867,29.6311136628,gazdasági,9,saliency (term)
868,33.9371387321,gazdasági,10,saliency (term)
869,24.9676440057,gazdasági,11,saliency (term)
870,24.7099553562,gazdasági,12,saliency (term)
871,42.3607915312,kapcsolat,0,saliency (term)
872,27.7846419657,kapcsolat,1,saliency (term)
873,29.5710469967,kapcsolat,2,saliency (term)
874,27.6562586416,kapcsolat,3,saliency (term)
875,34.6476597151,kapcsolat,4,saliency (term)
876,43.5497327208,kapcsolat,5,saliency (term)
877,30.979867146,kapcsolat,6,saliency (term)
878,43.0387210654,kapcsolat,7,saliency (term)
879,42.1598155416,kapcsolat,8,saliency (term)
880,27.6829387104,kapcsolat,9,saliency (term)
881,41.9320395602,kapcsolat,10,saliency (term)
882,33.9263133378,kapcsolat,11,saliency (term)
883,35.0044017473,kapcsolat,12,saliency (term)
884,25.7427966846,tábor,0,saliency (term)
885,35.9521968403,tábor,1,saliency (term)
886,26.788097292,tábor,2,saliency (term)
887,37.4667479098,tábor,3,saliency (term)
888,30.2892542964,tábor,4,saliency (term)
889,15.0266162928,tábor,5,saliency (term)
890,50.62123994,tábor,6,saliency (term)
891,21.8338789553,tábor,7,saliency (term)
892,22.213620655,tábor,8,saliency (term)
893,36.499415454,tábor,9,saliency (term)
894,30.0368156618,tábor,10,saliency (term)
895,45.9633411203,tábor,11,saliency (term)
896,44.4102269452,tábor,12,saliency (term)
897,12.9671830505,brit,0,saliency (term)
898,21.1005860741,brit,1,saliency (term)
899,83.2710358533,brit,2,saliency (term)
900,20.9870665567,brit,3,saliency (term)
901,25.9604339293,brit,4,saliency (term)
902,13.6458197643,brit,5,saliency (term)
903,24.6370849292,brit,6,saliency (term)
904,36.6570260056,brit,7,saliency (term)
905,22.563364058,brit,8,saliency (term)
906,25.0405697584,brit,9,saliency (term)
907,19.9121300823,brit,10,saliency (term)
908,34.6218252118,brit,11,saliency (term)
909,46.5387651977,brit,12,saliency (term)
910,32.3186067283,szükség,0,saliency (term)
911,33.4896615084,szükség,1,saliency (term)
912,26.5524325173,szükség,2,saliency (term)
913,34.5765633732,szükség,3,saliency (term)
914,31.208660517,szükség,4,saliency (term)
915,28.6672706704,szükség,5,saliency (term)
916,41.2192243514,szükség,6,saliency (term)
917,33.1845467726,szükség,7,saliency (term)
918,34.191167226,szükség,8,saliency (term)
919,34.1412484546,szükség,9,saliency (term)
920,30.1338862781,szükség,10,saliency (term)
921,36.2876447476,szükség,11,saliency (term)
922,19.7127929995,szükség,12,saliency (term)
923,30.731467595,megoldás,0,saliency (term)
924,27.9317087833,megoldás,1,saliency (term)
925,35.9183182835,megoldás,2,saliency (term)
926,32.3976823711,megoldás,3,saliency (term)
927,31.1948354524,megoldás,4,saliency (term)
928,28.5733860981,megoldás,5,saliency (term)
929,40.5041179222,megoldás,6,saliency (term)
930,38.8226024452,megoldás,7,saliency (term)
931,41.4535034776,megoldás,8,saliency (term)
932,37.9911031245,megoldás,9,saliency (term)
933,29.6140003809,megoldás,10,saliency (term)
934,33.0839148041,megoldás,11,saliency (term)
935,15.0617654507,megoldás,12,saliency (term)
936,22.3173933919,munka,0,saliency (term)
937,32.8087580193,munka,1,saliency (term)
938,42.7307491015,munka,2,saliency (term)
939,22.7353681425,munka,3,saliency (term)
940,30.8672473019,munka,4,saliency (term)
941,37.3156299346,munka,5,saliency (term)
942,25.5543595431,munka,6,saliency (term)
943,26.6540626963,munka,7,saliency (term)
944,25.5933562468,munka,8,saliency (term)
945,35.6693712252,munka,9,saliency (term)
946,36.7808709788,munka,10,saliency (term)
947,39.1039762271,munka,11,saliency (term)
948,34.3338566413,munka,12,saliency (term)
