,yield,gen,year,site
112,31.7835774895,nemzetközi,8,frequency (bigram)
113,23.1156325641,nemzetközi,9,frequency (bigram)
114,29.9230554125,nemzetközi,10,frequency (bigram)
115,30.6011244946,nemzetközi,11,frequency (bigram)
116,37.2791305647,nemzetközi,12,frequency (bigram)
117,30.7509716014,szervezet,0,frequency (bigram)
118,19.0796231173,szervezet,1,frequency (bigram)
119,29.8529572368,szervezet,2,frequency (bigram)
120,33.4831170559,szervezet,3,frequency (bigram)
121,30.5360384287,szervezet,4,frequency (bigram)
122,36.1051482747,szervezet,5,frequency (bigram)
123,38.186726529,szervezet,6,frequency (bigram)
124,28.7643139208,szervezet,7,frequency (bigram)
125,27.7281117288,szervezet,8,frequency (bigram)
126,27.4835089835,szervezet,9,frequency (bigram)
127,44.1906522638,szervezet,10,frequency (bigram)
128,38.1468818824,szervezet,11,frequency (bigram)
129,32.5985315335,szervezet,12,frequency (bigram)
130,34.5580862594,szíriai,0,frequency (bigram)
131,19.5407454901,szíriai,1,frequency (bigram)
132,5.5350117851,szíriai,2,frequency (bigram)
133,44.4212020013,szíriai,3,frequency (bigram)
134,26.4463697272,szíriai,4,frequency (bigram)
135,34.5391873754,szíriai,5,frequency (bigram)
136,50.3447737285,szíriai,6,frequency (bigram)
137,39.9002747091,szíriai,7,frequency (bigram)
138,47.9669734996,szíriai,8,frequency (bigram)
139,51.79471593,szíriai,9,frequency (bigram)
140,22.7988768284,szíriai,10,frequency (bigram)
141,19.2978064051,szíriai,11,frequency (bigram)
142,13.9838669626,szíriai,12,frequency (bigram)
143,65.8148176304,menedékkérő,0,frequency (bigram)
144,60.0357331291,menedékkérő,1,frequency (bigram)
145,31.2972052406,menedékkérő,2,frequency (bigram)
146,69.4944073377,menedékkérő,3,frequency (bigram)
147,46.5271310059,menedékkérő,4,frequency (bigram)
148,34.1546260457,menedékkérő,5,frequency (bigram)
149,32.163773318,menedékkérő,6,frequency (bigram)
150,43.2303544561,menedékkérő,7,frequency (bigram)
151,54.6536219047,menedékkérő,8,frequency (bigram)
152,110.214990845,menedékkérő,9,frequency (bigram)
153,30.3072355762,menedékkérő,10,frequency (bigram)
154,65.1710413994,menedékkérő,11,frequency (bigram)
155,27.7643403015,menedékkérő,12,frequency (bigram)
156,57.7233750595,rendőrség,0,frequency (bigram)
157,38.0448137025,rendőrség,1,frequency (bigram)
158,18.0051773223,rendőrség,2,frequency (bigram)
159,83.7346684959,rendőrség,3,frequency (bigram)
160,40.9428184869,rendőrség,4,frequency (bigram)
161,13.2457750054,rendőrség,5,frequency (bigram)
162,50.3388781241,rendőrség,6,frequency (bigram)
163,43.7252059537,rendőrség,7,frequency (bigram)
164,56.8609237327,rendőrség,8,frequency (bigram)
165,68.208960254,rendőrség,9,frequency (bigram)
166,51.0343162795,rendőrség,10,frequency (bigram)
167,71.9393486563,rendőrség,11,frequency (bigram)
168,20.5385240564,rendőrség,12,frequency (bigram)
169,32.3186067283,szükség,0,frequency (bigram)
170,33.4896615084,szükség,1,frequency (bigram)
171,26.5524325173,szükség,2,frequency (bigram)
172,34.5765633732,szükség,3,frequency (bigram)
173,31.208660517,szükség,4,frequency (bigram)
174,28.6672706704,szükség,5,frequency (bigram)
175,41.2192243514,szükség,6,frequency (bigram)
176,33.1845467726,szükség,7,frequency (bigram)
177,34.191167226,szükség,8,frequency (bigram)
178,34.1412484546,szükség,9,frequency (bigram)
179,30.1338862781,szükség,10,frequency (bigram)
180,36.2876447476,szükség,11,frequency (bigram)
181,19.7127929995,szükség,12,frequency (bigram)
182,53.5507285879,párt,0,frequency (bigram)
183,31.8045880807,párt,1,frequency (bigram)
184,72.216423588,párt,2,frequency (bigram)
185,47.057341674,párt,3,frequency (bigram)
186,43.5464534195,párt,4,frequency (bigram)
187,71.1522691157,párt,5,frequency (bigram)
188,30.367618371,párt,6,frequency (bigram)
189,55.4943393051,párt,7,frequency (bigram)
190,32.9136142786,párt,8,frequency (bigram)
191,20.8496877699,párt,9,frequency (bigram)
192,49.7545306808,párt,10,frequency (bigram)
193,35.9748645619,párt,11,frequency (bigram)
194,78.9703315022,párt,12,frequency (bigram)
195,55.2601459651,elnök,0,frequency (bigram)
196,24.5611887709,elnök,1,frequency (bigram)
197,56.4320007135,elnök,2,frequency (bigram)
198,36.6566378265,elnök,3,frequency (bigram)
199,47.0163839263,elnök,4,frequency (bigram)
200,51.9380067198,elnök,5,frequency (bigram)
201,54.7784551133,elnök,6,frequency (bigram)
202,63.8296593739,elnök,7,frequency (bigram)
203,58.0983746696,elnök,8,frequency (bigram)
204,34.4310060197,elnök,9,frequency (bigram)
205,65.3528139798,elnök,10,frequency (bigram)
206,33.0366152931,elnök,11,frequency (bigram)
207,69.9007143585,elnök,12,frequency (bigram)
208,42.3607915312,kapcsolat,0,frequency (bigram)
209,27.7846419657,kapcsolat,1,frequency (bigram)
210,29.5710469967,kapcsolat,2,frequency (bigram)
211,27.6562586416,kapcsolat,3,frequency (bigram)
212,34.6476597151,kapcsolat,4,frequency (bigram)
213,43.5497327208,kapcsolat,5,frequency (bigram)
214,30.979867146,kapcsolat,6,frequency (bigram)
215,43.0387210654,kapcsolat,7,frequency (bigram)
216,42.1598155416,kapcsolat,8,frequency (bigram)
217,27.6829387104,kapcsolat,9,frequency (bigram)
218,41.9320395602,kapcsolat,10,frequency (bigram)
219,33.9263133378,kapcsolat,11,frequency (bigram)
220,35.0044017473,kapcsolat,12,frequency (bigram)
