source,target,value
C4: Mittelbau-Dora,C5: Salzwedel,1
C4: Ebensee,CX,1
C4: Dachau,C5: Buchenberg,1
C4: Osterode am Harz,CX,1
C4: Crawinkel,C5: Stamsried,1
C3: Riese-Fürstenstein,C4: Flossenbürg,1
C3: Flossenbürg,C4: Crawinkel,1
C2: Auschwitz I,C3: Lagischa,1
C2: Buchenwald,C3: Berga-Elster,1
C2: Buchenwald,C3: Gelsenkirchen-Horst,1
C2: Buchenwald,C3: Ohrdruf,1
C2: Buchenwald,C3: Tröglitz (Rehmsdorf),1
C2: Fallersleben,CX,1
C2: Hamburg,C3: Bergen-Belsen,1
C2: Auschwitz I,C3: Fürstengrube,1
C2: Hamburg,CX,1
C2: Hindenburg,C3: Mittelbau-Dora,1
C2: Kaufering,C3: Landsberg,1
C2: Lübberstedt,C3: Bergen-Belsen,1
C2: Lübberstedt,CX,1
C2: Malchow,CX,1
C2: Auschwitz I,C3: Gleiwitz,1
C1: Auschwitz I,C2: Riese-Fürstenstein,1
C2: Riese-Fürstenstein,C3: Flossenbürg,1
C2: Mauthausen,C3: Ebensee,1
C1: Auschwitz I,C2: Malchow,1
Ghetto: Beregszász,C1: Dachau,1
C1: Auschwitz I,C2: Geislingen an der Steige,1
C1: Auschwitz I,C2: Hindenburg,1
C1: Auschwitz I,C2: Kaufering,1
C1: Auschwitz I,C2: Peterswaldau,1
C1: Dachau,C2: Waldlager bei Ampfing,1
C1: Auschwitz I,C2: Riese-Fürstenstein,1
C1: Auschwitz I,C2: Riese-Wüstegiersdorf,1
C1: Auschwitz I,C2: Salzwedel,1
C1: Auschwitz I,C2: St. Georgenthal,1
C1: Auschwitz I,C2: Stuttgart,1
C1: Auschwitz II-Birkenau ,C2: Geislingen an der Steige,1
C2: Mauthausen,C3: Buchenwald,1
C2: Mauthausen,C3: Gusen II.,1
C3: Riese-Dörnhau,C4: Riese-Schotterwerk,1
C3: Hildesheim,C4: Hannover,1
C3: Gusen,C4: Gunskirchen,1
C3: Gusen,C4: Mauthausen,1
C3: Gusen,CX,1
C3: Gusen II.,CX,1
C3: Heydebreck,C4: Theresienstadt,1
C3: Heydebreck,CX,1
C3: Lagischa,C4: Auschwitz III-Monowitz,1
C3: Fürstengrube,C4: Gleiwitz,1
C3: Landsberg,C4: Dachau,1
C3: Malchow,C4: Leipzig,1
C3: Mauthausen,C4: Gunskirchen,1
C3: Mauthausen,CX,1
C3: Melk,C4: Ebensee,1
C3: Ohrdruf,C4: Buchenwald,1
C3: Gelsenkirchen-Horst,C4: Sömmerda,1
